Rank,cell_type,tissue,n_cells,Uber Score,Functional,Viability,Exosome,Mito Health,Rab Traffic,MDV,TNT,Adhesion,Metabolism,MV Form.,Shedding,Activation,Exosome_norm,Mito Health_norm,Rab Traffic_norm,MDV_norm,TNT_norm,Adhesion_norm,Metabolism_norm,MV Form._norm,Shedding_norm,Activation_norm,Viability
1,neutrophil,anterior segment of eyeball,1,0.6577208461728599,0.41689320334266255,0.8909830415551796,0.8085289001464844,0.14875727891921997,0.5492859482765198,0.22313593327999115,0.9870871305465698,0.37829217314720154,1.0780537128448486,0.6523832082748413,1.6409883499145508,0.0,0.5713607932968198,0.21947824545305605,0.4569228644067696,0.271007184557599,0.7242336356204241,0.22973064492495943,0.7663857943327738,0.5444436540865455,0.8531951257531757,0.0,0.8909830415551796
2,platelet,brown adipose tissue,1,0.6564410020994265,0.5068761154699979,0.8549682124487034,0.8657532930374146,0.1605185717344284,1.202141523361206,0.0,1.105859398841858,0.40247011184692383,1.2796043157577515,0.968340277671814,0.878774106502533,0.240777850151062,0.6117993904974481,0.23683099571910077,1.0,0.0,0.8113777883668494,0.24441351135656808,0.9096676336986801,0.8081242933412789,0.456898907506019,0.11390591074943182,0.8549682124487034
3,classical monocyte,sclera,1,0.6516799279493408,0.481545702379225,0.9217492614952241,0.7870156764984131,0.3339921236038208,0.6786395311355591,0.2537492513656616,0.8343173861503601,0.44607648253440857,0.9143911600112915,0.9047771692276001,1.2844525575637817,0.6484745740890503,0.5561581053932619,0.49277592206774146,0.5645254888443355,0.308188238377171,0.6121452657359887,0.2708949465327979,0.6500384787385584,0.7550779693594271,0.6678223288006181,0.3067769186954732,0.9217492614952241
4,mast cell,right ovary,2,0.6307189537250941,0.46900716562768635,0.8067910777536159,1.12906813621521,0.2875746190547943,0.7288409471511841,0.5032426118850708,0.8108093738555908,0.24308080971240997,0.4440886080265045,0.2175927460193634,1.4122047424316406,0.24599961936473846,0.7978753336797335,0.4242909878800047,0.6062854771985029,0.6112075334153053,0.594897251165053,0.14761899702953554,0.3157015244800794,0.18159110817518023,0.7342442150006337,0.11637619768668121,0.8067910777536159
5,natural killer cell,posterior segment of eyeball,1,0.6128609755584974,0.35400102039637305,1.0,0.4523930847644806,0.32709062099456787,0.4205451011657715,0.6031907796859741,0.4343585669994354,0.5887631177902222,0.2412763088941574,0.30159538984298706,0.8042543530464172,0.3470752537250519,0.3196913205529194,0.4825933636432151,0.34982994347447627,0.7325984324930658,0.3186923164186034,0.35754620465104425,0.17152274830311773,0.2516951601743187,0.4181540313316105,0.16419252372815402,1.0
6,T cell,buccal mucosa,1,0.6105170761586205,0.40049868655657256,0.9411492452330243,0.4391788840293884,0.0868663415312767,0.6324629187583923,0.8233579993247986,0.4450673460960388,1.0449917316436768,0.31271880865097046,0.8619599938392639,0.2605990171432495,0.20252461731433868,0.3103532793110815,0.12816362578508583,0.5261135286218351,1.0,0.3265494323490832,0.6346063743653955,0.22231104973269966,0.7193450762830783,0.13549262017263344,0.09580927385927217,0.9411492452330243
7,intermediate monocyte,muscle of pelvic diaphragm,3,0.6022661707234805,0.5441305694220522,0.6614553206582846,0.8671698570251465,0.4097309708595276,0.5349633097648621,0.34480518102645874,0.9899360537528992,0.7525361180305481,1.2881526947021484,0.7421982884407043,1.2454768419265747,0.38961803913116455,0.6128004296979512,0.6045219114343954,0.4450085945530743,0.41877917176880414,0.7263239131121191,0.4570028670860491,0.9157446557519422,0.6193984503126584,0.6475577787164335,0.18431843944033702,0.6614553206582846
8,innate lymphoid cell,large intestine,1,0.6015988227487565,0.5229169579606612,0.646088186248259,0.818354070186615,0.48793062567710876,0.7118441462516785,0.20047956705093384,0.9420797824859619,1.1410068273544312,0.605700671672821,0.5555480122566223,1.1708844900131226,0.10023978352546692,0.5783039179611182,0.7198986053285978,0.5921467085350745,0.24349015521236053,0.6912113883366215,0.6929147704304133,0.4305911522375846,0.46363024979344303,0.6087751566007208,0.047420906153247504,0.646088186248259
9,classical monocyte,aorta,2,0.5847565183858721,0.4266964753492463,0.770370429977398,0.5448278784751892,0.3558998107910156,0.8039718866348267,0.14414113759994507,0.6363597512245178,0.5857591032981873,0.5420780777931213,0.9103298187255859,0.6600425839424133,0.0,0.3850119504688196,0.5250987823722174,0.6687830600734171,0.17506496289360057,0.466902183130122,0.35572191581927254,0.38536200310796004,0.7597119095715602,0.3431743530894185,0.0,0.770370429977398
10,intermediate monocyte,sclera,2,0.5841922029509354,0.48023351366361783,0.7397019962428638,0.6749807596206665,0.2557450830936432,0.5465760827064514,0.526498556137085,0.9589113593101501,0.6897441744804382,1.0885043144226074,0.699657142162323,1.1900224685668945,0.5207385420799255,0.4769867127904555,0.37732931476327625,0.45466866594726413,0.639452773360852,0.7035608493916518,0.41887034753681374,0.7738151018858184,0.5838959161654664,0.6187255197582029,0.2463482328658196,0.7397019962428638
